Distance_(pixels),Gray_Value
1115,28.1250
1116,29.0000
1117,29.8750
1118,30.0000
1119,29.7500
1120,28.3750
1121,27.1250
1122,26.3750
1123,26.6250
1124,28.0000
1125,30.2500
1126,33.0000
1127,33.8750
1128,33.2500
1129,31.3750
1130,30.1250
1131,28.3750
1132,27.5000
1133,27.3750
1134,28.0000
1135,29.0000
1136,29.0000
1137,29.3750
1138,30.0000
1139,31.0000
1140,31.2500
1141,31.2500
1142,31.1250
1143,29.5000
1144,27.7500
1145,26.6250
1146,27.1250
1147,27.8750
1148,28.3750
1149,29.5000
1150,31.0000
1151,31.8750
1152,33.0000
1153,33.2500
1154,33.7500
1155,33.5000
1156,32.1250
1157,30.3750
1158,28.3750
1159,27.3750
1160,27.1250
1161,28.2500
1162,30.5000
1163,32.0000
1164,32.0000
1165,31.5000
1166,30.2500
1167,28.7500
1168,28.0000
1169,28.5000
1170,30.6250
1171,31.6250
1172,32.1250
1173,32.0000
1174,31.3750
1175,29.8750
1176,28.8750
1177,28.6250
1178,29.7500
1179,30.2500
1180,29.7500
1181,29.0000
1182,28.3750
1183,27.2500
1184,26.6250
1185,27.2500
1186,28.6250
1187,30.3750
1188,31.5000
1189,31.7500
1190,31.8750
1191,31.6250
1192,30.8750
1193,29.1250
1194,28.1250
1195,26.7500
1196,26.3750
1197,27.5000
1198,29.2500
1199,31.3750
1200,33.0000
1201,33.6250
1202,33.7500
1203,33.0000
1204,31.6250
1205,30.5000
1206,30.3750
1207,30.3750
1208,29.6250
1209,29.0000
1210,28.5000
1211,28.5000
1212,29.1250
1213,30.7500
1214,32.3750
1215,32.7500
1216,31.8750
1217,31.3750
1218,30.5000
1219,28.8750
1220,28.0000
1221,28.6250
1222,29.5000
1223,30.1250
1224,30.3750
1225,30.8750
1226,31.0000
1227,31.7500
1228,31.8750
1229,32.0000
1230,31.3750
1231,31.6250
1232,31.7500
1233,31.7500
1234,31.8750
1235,32.7500
1236,33.3750
1237,33.1250
1238,32.1250
1239,30.2500
